stage,local_code,title,version,domain_code,domain,entrance,acceptance_id,parallel,parallel_note,estimated_hours,file
STAGE-099,D16-S003,内部依据与外部增强分离,v0.1,D16,RAG 回答层与安全,IDS 系统运营入口,ACC-STAGE-099,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-099_内部依据与外部增强分离.md
STAGE-100,D16-S004,无内部依据策略,v0.1,D16,RAG 回答层与安全,IDS 系统运营入口,ACC-STAGE-100,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-100_无内部依据策略.md
STAGE-101,D16-S005,RAG 可复现,v0.1,D16,RAG 回答层与安全,IDS 系统运营入口,ACC-STAGE-101,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,12-24 小时,stages/STAGE-101_RAG可复现.md
STAGE-102,D16-S006,文档内提示注入防护,v0.1,D16,RAG 回答层与安全,IDS 系统运营入口,ACC-STAGE-102,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-102_文档内提示注入防护.md
STAGE-103,D16-S007,模型输出权限门禁,v0.1,D16,RAG 回答层与安全,IDS 系统运营入口,ACC-STAGE-103,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,12-24 小时,stages/STAGE-103_模型输出权限门禁.md
STAGE-104,D16-S008,RAG 负向测试,v0.1,D16,RAG 回答层与安全,IDS 系统运营入口,ACC-STAGE-104,是,可与 STAGE-119~123、STAGE-152~157 的测试设计并行；至少在 STAGE-105 前完成。,4-8 小时,stages/STAGE-104_RAG负向测试.md
STAGE-105,D17-S001,报告证据绑定,v0.1,D17,报告交付,人类产品入口 + IDS 系统运营入口,ACC-STAGE-105,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-105_报告证据绑定.md
STAGE-106,D17-S002,外部增强意见章节,v0.1,D17,报告交付,人类产品入口 + IDS 系统运营入口,ACC-STAGE-106,是,可与 STAGE-127~135 的人类入口 UI 设计并行；至少在 STAGE-157 前完成。,4-12 小时,stages/STAGE-106_外部增强意见章节.md
STAGE-107,D17-S003,人工确认事项章节,v0.1,D17,报告交付,人类产品入口 + IDS 系统运营入口,ACC-STAGE-107,是,可与 STAGE-127~135 的人类入口 UI 设计并行；至少在 STAGE-157 前完成。,4-12 小时,stages/STAGE-107_人工确认事项章节.md
STAGE-108,D17-S004,报告快照,v0.1,D17,报告交付,人类产品入口 + IDS 系统运营入口,ACC-STAGE-108,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-108_报告快照.md
STAGE-109,D17-S005,报告影响分析,v0.1,D17,报告交付,人类产品入口 + IDS 系统运营入口,ACC-STAGE-109,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,12-24 小时,stages/STAGE-109_报告影响分析.md
STAGE-110,D17-S006,报告质量评分,v0.1,D17,报告交付,人类产品入口 + IDS 系统运营入口,ACC-STAGE-110,是,可与 STAGE-127~135 的人类入口 UI 设计并行；至少在 STAGE-157 前完成。,12-24 小时,stages/STAGE-110_报告质量评分.md
STAGE-111,D17-S007,报告重新生成队列,v0.1,D17,报告交付,人类产品入口 + IDS 系统运营入口,ACC-STAGE-111,是,可与 STAGE-127~135 的人类入口 UI 设计并行；至少在 STAGE-157 前完成。,4-12 小时,stages/STAGE-111_报告重新生成队列.md
STAGE-112,D17-S008,报告导出审计,v0.1,D17,报告交付,人类产品入口 + IDS 系统运营入口,ACC-STAGE-112,是,可与 STAGE-127~135 的人类入口 UI 设计并行；至少在 STAGE-157 前完成。,4-12 小时,stages/STAGE-112_报告导出审计.md
STAGE-113,D18-S001,复核队列 Schema,v0.1,D18,人工复核队列,人类产品入口 + IDS 系统运营入口,ACC-STAGE-113,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-113_复核队列Schema.md
STAGE-114,D18-S002,复核工作流,v0.1,D18,人工复核队列,人类产品入口 + IDS 系统运营入口,ACC-STAGE-114,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-114_复核工作流.md
STAGE-115,D18-S003,复核 UI,v0.1,D18,人工复核队列,人类产品入口 + IDS 系统运营入口,ACC-STAGE-115,是,可与 STAGE-127~135 的人类入口 UI 设计并行；至少在 STAGE-157 前完成。,4-12 小时,stages/STAGE-115_复核UI.md
STAGE-116,D18-S004,复核审计,v0.1,D18,人工复核队列,人类产品入口 + IDS 系统运营入口,ACC-STAGE-116,是,可与 STAGE-127~135 的人类入口 UI 设计并行；至少在 STAGE-157 前完成。,4-12 小时,stages/STAGE-116_复核审计.md
STAGE-117,D18-S005,复核结果进入证据体系,v0.1,D18,人工复核队列,人类产品入口 + IDS 系统运营入口,ACC-STAGE-117,是,可与 STAGE-127~135 的人类入口 UI 设计并行；至少在 STAGE-157 前完成。,12-24 小时,stages/STAGE-117_复核结果进入证据体系.md
STAGE-118,D18-S006,冲突资料复核队列,v0.1,D18,人工复核队列,人类产品入口 + IDS 系统运营入口,ACC-STAGE-118,是,可与 STAGE-127~135 的人类入口 UI 设计并行；至少在 STAGE-157 前完成。,4-12 小时,stages/STAGE-118_冲突资料复核队列.md
STAGE-119,D19-S001,Manifest 质量测试,v0.1,D19,数据质量门禁,IDS 系统运营入口,ACC-STAGE-119,是,可与对应能力域的实现 Stage 并行设计测试；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-119_Manifest质量测试.md
STAGE-120,D19-S002,解析质量测试,v0.1,D19,数据质量门禁,IDS 系统运营入口,ACC-STAGE-120,是,可与对应能力域的实现 Stage 并行设计测试；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-120_解析质量测试.md
STAGE-121,D19-S003,Chunk 质量测试,v0.1,D19,数据质量门禁,IDS 系统运营入口,ACC-STAGE-121,是,可与对应能力域的实现 Stage 并行设计测试；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-121_Chunk质量测试.md
STAGE-122,D19-S004,证据质量测试,v0.1,D19,数据质量门禁,IDS 系统运营入口,ACC-STAGE-122,是,可与对应能力域的实现 Stage 并行设计测试；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-122_证据质量测试.md
STAGE-123,D19-S005,质量门禁 UI,v0.1,D19,数据质量门禁,IDS 系统运营入口,ACC-STAGE-123,是,可与对应能力域的实现 Stage 并行设计测试；至少在 STAGE-168 前完成。,4-12 小时,stages/STAGE-123_质量门禁UI.md
STAGE-124,D20-S001,血缘 Schema,v0.1,D20,血缘与溯源,IDS 系统运营入口,ACC-STAGE-124,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-124_血缘Schema.md
STAGE-125,D20-S002,血缘查询 API,v0.1,D20,血缘与溯源,IDS 系统运营入口,ACC-STAGE-125,是,可与对应能力域的实现 Stage 并行设计测试；至少在 STAGE-168 前完成。,4-12 小时,stages/STAGE-125_血缘查询API.md
STAGE-126,D20-S003,血缘回归测试,v0.1,D20,血缘与溯源,IDS 系统运营入口,ACC-STAGE-126,是,可与对应能力域的实现 Stage 并行设计测试；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-126_血缘回归测试.md
STAGE-127,D21-S001,人类入口导航,v0.1,D21,人类产品入口 UI/UX,人类产品入口,ACC-STAGE-127,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,8-16 小时,stages/STAGE-127_人类入口导航.md
STAGE-128,D21-S002,数据源中心 UI,v0.1,D21,人类产品入口 UI/UX,人类产品入口,ACC-STAGE-128,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,8-16 小时,stages/STAGE-128_数据源中心UI.md
STAGE-129,D21-S003,资料台账 UI,v0.1,D21,人类产品入口 UI/UX,人类产品入口,ACC-STAGE-129,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,8-16 小时,stages/STAGE-129_资料台账UI.md
STAGE-130,D21-S004,知识检索 UI,v0.1,D21,人类产品入口 UI/UX,人类产品入口,ACC-STAGE-130,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,8-16 小时,stages/STAGE-130_知识检索UI.md
STAGE-131,D21-S005,报告中心 UI,v0.1,D21,人类产品入口 UI/UX,人类产品入口,ACC-STAGE-131,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,8-16 小时,stages/STAGE-131_报告中心UI.md
STAGE-132,D21-S006,客户信任看板,v0.1,D21,人类产品入口 UI/UX,人类产品入口,ACC-STAGE-132,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,12-24 小时,stages/STAGE-132_客户信任看板.md
STAGE-133,D21-S007,下一步建议面板,v0.1,D21,人类产品入口 UI/UX,人类产品入口,ACC-STAGE-133,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,12-24 小时,stages/STAGE-133_下一步建议面板.md
STAGE-134,D21-S008,中文 UX 状态字典,v0.1,D21,人类产品入口 UI/UX,人类产品入口,ACC-STAGE-134,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,4-12 小时,stages/STAGE-134_中文UX状态字典.md
STAGE-135,D21-S009,机器状态到人类状态映射,v0.1,D21,人类产品入口 UI/UX,人类产品入口,ACC-STAGE-135,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,12-24 小时,stages/STAGE-135_机器状态到人类状态映射.md
STAGE-136,D22-S001,运营入口导航,v0.1,D22,IDS 系统运营入口,IDS 系统运营入口,ACC-STAGE-136,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,8-16 小时,stages/STAGE-136_运营入口导航.md
STAGE-137,D22-S002,机器控制看板,v0.1,D22,IDS 系统运营入口,IDS 系统运营入口,ACC-STAGE-137,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,8-16 小时,stages/STAGE-137_机器控制看板.md
STAGE-138,D22-S003,数据治理看板,v0.1,D22,IDS 系统运营入口,IDS 系统运营入口,ACC-STAGE-138,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,8-16 小时,stages/STAGE-138_数据治理看板.md
STAGE-139,D22-S004,运行可靠看板,v0.1,D22,IDS 系统运营入口,IDS 系统运营入口,ACC-STAGE-139,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,8-16 小时,stages/STAGE-139_运行可靠看板.md
STAGE-140,D22-S005,质量与发布门禁看板,v0.1,D22,IDS 系统运营入口,IDS 系统运营入口,ACC-STAGE-140,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,12-24 小时,stages/STAGE-140_质量与发布门禁看板.md
STAGE-141,D22-S006,支持诊断包 UI,v0.1,D22,IDS 系统运营入口,IDS 系统运营入口,ACC-STAGE-141,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,12-24 小时,stages/STAGE-141_支持诊断包UI.md
STAGE-142,D22-S007,运营安全模式控制,v0.1,D22,IDS 系统运营入口,IDS 系统运营入口,ACC-STAGE-142,是,可在后端契约稳定后并行推进；至少在 STAGE-157 前完成端到端走查所需页面。,12-24 小时,stages/STAGE-142_运营安全模式控制.md
STAGE-143,D23-S001,元数据备份,v0.1,D23,备份恢复,IDS 系统运营入口,ACC-STAGE-143,是,可与 STAGE-030~036 的数据库控制面并行设计；至少在 Tier 2 数据批量处理前完成。,8-16 小时,stages/STAGE-143_元数据备份.md
STAGE-144,D23-S002,Manifest 备份,v0.1,D23,备份恢复,IDS 系统运营入口,ACC-STAGE-144,是,可与 STAGE-030~036 的数据库控制面并行设计；至少在 Tier 2 数据批量处理前完成。,4-12 小时,stages/STAGE-144_Manifest备份.md
STAGE-145,D23-S003,索引 Manifest 导出,v0.1,D23,备份恢复,IDS 系统运营入口,ACC-STAGE-145,是,可与 STAGE-030~036 的数据库控制面并行设计；至少在 Tier 2 数据批量处理前完成。,4-12 小时,stages/STAGE-145_索引Manifest导出.md
STAGE-146,D23-S004,恢复测试,v0.1,D23,备份恢复,IDS 系统运营入口,ACC-STAGE-146,是,可与 STAGE-030~036 的数据库控制面并行设计；至少在 Tier 2 数据批量处理前完成。,12-24 小时,stages/STAGE-146_恢复测试.md
STAGE-147,D23-S005,备份 UI,v0.1,D23,备份恢复,IDS 系统运营入口,ACC-STAGE-147,是,可与 STAGE-030~036 的数据库控制面并行设计；至少在 Tier 2 数据批量处理前完成。,4-12 小时,stages/STAGE-147_备份UI.md
STAGE-148,D24-S001,审计事件 Schema,v0.1,D24,安全与审计,IDS 系统运营入口,ACC-STAGE-148,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-148_审计事件Schema.md
STAGE-149,D24-S002,外部 API 审计,v0.1,D24,安全与审计,IDS 系统运营入口,ACC-STAGE-149,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-149_外部API审计.md
STAGE-150,D24-S003,危险操作确认,v0.1,D24,安全与审计,IDS 系统运营入口,ACC-STAGE-150,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-150_危险操作确认.md
STAGE-151,D24-S004,Secret 处理基线,v0.1,D24,安全与审计,IDS 系统运营入口,ACC-STAGE-151,是,可作为横切质量工作与相关实现 Stage 并行推进；至少在 STAGE-168 前完成。,4-12 小时,stages/STAGE-151_Secret处理基线.md
STAGE-152,D25-S001,黄金测试集,v0.1,D25,测试、压测与发布验证,IDS 系统运营入口,ACC-STAGE-152,是,可作为横切质量工作与相关实现 Stage 并行推进；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-152_黄金测试集.md
STAGE-153,D25-S002,场景测试框架,v0.1,D25,测试、压测与发布验证,IDS 系统运营入口,ACC-STAGE-153,是,可作为横切质量工作与相关实现 Stage 并行推进；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-153_场景测试框架.md
STAGE-154,D25-S003,结果有效性门禁,v0.1,D25,测试、压测与发布验证,IDS 系统运营入口,ACC-STAGE-154,是,可作为横切质量工作与相关实现 Stage 并行推进；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-154_结果有效性门禁.md
STAGE-155,D25-S004,禁止行为测试,v0.1,D25,测试、压测与发布验证,IDS 系统运营入口,ACC-STAGE-155,是,可作为横切质量工作与相关实现 Stage 并行推进；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-155_禁止行为测试.md
STAGE-156,D25-S005,竞态场景测试,v0.1,D25,测试、压测与发布验证,IDS 系统运营入口,ACC-STAGE-156,是,可作为横切质量工作与相关实现 Stage 并行推进；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-156_竞态场景测试.md
STAGE-157,D25-S006,端到端流程测试,v0.1,D25,测试、压测与发布验证,IDS 系统运营入口,ACC-STAGE-157,是,可作为横切质量工作与相关实现 Stage 并行推进；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-157_端到端流程测试.md
STAGE-158,D25-S007,性能测试基线,v0.1,D25,测试、压测与发布验证,IDS 系统运营入口,ACC-STAGE-158,是,可作为横切质量工作与相关实现 Stage 并行推进；至少在 STAGE-168 前完成。,12-24 小时,stages/STAGE-158_性能测试基线.md
STAGE-159,D25-S008,长稳测试基线,v0.1,D25,测试、压测与发布验证,IDS 系统运营入口,ACC-STAGE-159,是,可作为横切质量工作与相关实现 Stage 并行推进；至少在 STAGE-168 前完成。,12-24 小时,stages/STAGE-159_长稳测试基线.md
STAGE-160,D25-S009,UI/UX 走查,v0.1,D25,测试、压测与发布验证,IDS 系统运营入口,ACC-STAGE-160,是,可作为横切质量工作与相关实现 Stage 并行推进；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-160_UI_UX走查.md
STAGE-161,D25-S010,交叉验证报告,v0.1,D25,测试、压测与发布验证,IDS 系统运营入口,ACC-STAGE-161,是,可作为横切质量工作与相关实现 Stage 并行推进；至少在 STAGE-168 前完成。,4-8 小时,stages/STAGE-161_交叉验证报告.md
STAGE-162,D26-S001,Codex Stage 模板,v0.1,D26,Codex 执行治理与 v0.1 验收,IDS 系统运营入口,ACC-STAGE-162,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-162_CodexStage模板.md
STAGE-163,D26-S002,Acceptance ID 索引,v0.1,D26,Codex 执行治理与 v0.1 验收,IDS 系统运营入口,ACC-STAGE-163,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-163_AcceptanceID索引.md
STAGE-164,D26-S003,允许文件与停止条件,v0.1,D26,Codex 执行治理与 v0.1 验收,IDS 系统运营入口,ACC-STAGE-164,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-164_允许文件与停止条件.md
STAGE-165,D26-S004,并行执行策略,v0.1,D26,Codex 执行治理与 v0.1 验收,IDS 系统运营入口,ACC-STAGE-165,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-165_并行执行策略.md
STAGE-166,D26-S005,开发防偏差控制,v0.1,D26,Codex 执行治理与 v0.1 验收,IDS 系统运营入口,ACC-STAGE-166,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-166_开发防偏差控制.md
STAGE-167,D26-S006,发布包基线,v0.1,D26,Codex 执行治理与 v0.1 验收,IDS 系统运营入口,ACC-STAGE-167,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-167_发布包基线.md
STAGE-168,D26-S007,v0.1 最终验收门禁,v0.1,D26,Codex 执行治理与 v0.1 验收,IDS 系统运营入口,ACC-STAGE-168,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-168_v0.1最终验收门禁.md
