项目,文件名,日期,时长秒,分辨率,功能位,画质等级,描述,画面元素,镜头特征,工序阶段,脱敏风险,置信度
内部群,内部_会议现场_260313_01.mp4,260313,11.9,720x1280,环境铺垫,可全屏,会议现场,人员、文字牌,中景、固定机位,无法判断,人脸,高
内部群,lQbPKG8vw3brsBkAALAuDGXgfPv0HQnndfARjDcA.mp4,260524,16.4,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_工厂内部监控_260327_03.mp4,260327,15.2,960x544,环境铺垫,仅可内嵌,工厂内部监控,人员、轮带、筒体、文字牌,运动镜头,无法判断,客户名称,高
内部群,内部_井盖与橙色管_260619_01.mp4,260619,33.3,544x960,不可用,仅可内嵌,井盖与橙色管,无,固定机位,无法判断,无,高
内部群,内部_浇灌植物_260804_01.mp4,260804,45.8,720x1280,不可用,可全屏,浇灌植物,人员,手持抖动,无法判断,无,高
内部群,内部_厂区树木修剪_260425_03.mp4,260425,40.0,720x1280,环境铺垫,可全屏,厂区树木修剪,厂区,中景、手持抖动,无法判断,无,高
内部群,内部_车间内部画面_260520_01.mp4,260520,20.8,960x544,环境铺垫,仅可内嵌,车间内部画面,轮带、筒体、厂区、文字牌,中景、固定机位,无法判断,客户名称,高
内部群,内部_轮带车磨削_260131_08.mp4,260131,44.2,544x960,过程证据,仅可内嵌,轮带车磨削,筒体、磨损面,大特写,加工,无,高
内部群,内部_多图夜间场景_260218_03.mp4,260218,40.3,544x960,不可用,仅可内嵌,多图夜间场景,文字牌,手持抖动,无法判断,无,高
内部群,内部_灌溉树木_260804_01.mp4,260804,59.6,720x1280,环境铺垫,可全屏,灌溉树木,无,手持抖动,无法判断,无,高
内部群,内部_园艺维护_260610_01.mp4,260610,17.4,544x960,环境铺垫,仅可内嵌,园艺维护,人员、厂区,中景、手持抖动,无法判断,无,高
内部群,内部_建筑场景_260404_01.mp4,260404,47.6,544x960,不可用,仅可内嵌,建筑场景,无,手持抖动,无法判断,无,高
内部群,内部_园区灌木修剪_260407_05.mp4,260407,11.1,720x1280,不可用,可全屏,园区灌木修剪,无,手持抖动,无法判断,无,高
内部群,内部_加工现场图_260327_04.mp4,260327,9.0,544x960,环境铺垫,仅可内嵌,加工现场图,人员、筒体、厂区、文字牌,固定机位,无法判断,无,高
内部群,内部_绿植前标牌_260427_02.mp4,260427,54.1,720x1280,环境铺垫,可全屏,绿植前标牌,厂区、文字牌,中景、手持抖动,无法判断,无,高
内部群,lQbPJwIvL_0wMHEAALA3GnI-f0IJcwni2m6E0nAA.mp4,260520,27.1,960x544,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_校园花坛_260223_03.mp4,260223,35.0,720x1280,环境铺垫,可全屏,校园花坛,文字牌,全景、手持抖动,无法判断,客户名称,高
内部群,lQbPJwHKO93o_AEAALA39dR9m4uNXAnlA1FbwiMA.mp4,260522,19.1,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,lQbPJxxdQQa3bpkAALA70kvJ2dinAgnsgBdmVMUA.mp4,260528,17.6,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_地面与植物_260314_01.mp4,260314,19.4,720x1280,不可用,可全屏,地面与植物,无,手持抖动,无法判断,无,高
内部群,内部_发货装车_260524_01.mp4,260524,18.2,544x960,环境铺垫,仅可内嵌,发货装车,吊装、厂区,,收尾,无,高
内部群,lQbPJwn34-2f55kAALCG2sYilVmOwAngakSR8yMA.mp4,260518,18.1,960x544,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_工厂花园_260627_01.mp4,260627,56.3,720x1280,环境铺垫,可全屏,工厂花园,厂区、文字牌,中景、手持抖动,无法判断,无,高
内部群,内部_机械维修现场_260426_01.mp4,260426,24.5,544x960,环境铺垫,仅可内嵌,机械维修现场,人员、轮带、厂区,手持抖动,无法判断,无,高
内部群,内部_工厂内部画面_260525_01.mp4,260525,18.0,544x960,环境铺垫,仅可内嵌,工厂内部画面,厂区,运动镜头、手持抖动,无法判断,无,高
内部群,内部_绿色植物园地_260716_01.mp4,260716,41.2,720x1280,不可用,可全屏,绿色植物园地,人员、文字牌,中景、手持抖动,无法判断,无,高
内部群,内部_工地墙边土堆_260505_01.mp4,260505,27.1,720x1280,不可用,可全屏,工地墙边土堆,无,手持抖动,无法判断,无,高
内部群,内部_回转窑检修_260519_01.mp4,260519,39.7,544x960,不可用,仅可内嵌,回转窑检修,筒体、量具、文字牌,手持抖动,无法判断,无,高
内部群,内部_地面与植物_260501_01.mp4,260501,42.1,544x960,不可用,仅可内嵌,地面与植物,无,手持抖动,无法判断,无,高
内部群,内部_管道作业_260525_01.mp4,260525,34.3,544x960,环境铺垫,仅可内嵌,管道作业,无,手持抖动、中景,无法判断,无,高
内部群,260328_01.mp4,260328,35.2,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_轮带磨损_260131_03.mp4,260131,11.0,544x960,不可用,仅可内嵌,轮带磨损,筒体,大特写、固定机位,无法判断,无,高
内部群,内部_花园景观_260717_01.mp4,260717,49.1,720x1280,不可用,可全屏,花园景观,无,全景,无法判断,无,高
内部群,内部_工具物资_260329_03.mp4,260329,26.6,544x960,环境铺垫,仅可内嵌,工具物资,厂区,,无法判断,无,高
内部群,内部_花园绿植_260804_01.mp4,260804,31.4,720x1280,不可用,可全屏,花园绿植,无,全景、手持抖动,无法判断,无,高
内部群,内部_地面与植物_260222_01.mp4,260222,39.6,544x960,不可用,仅可内嵌,地面与植物,无,手持抖动,无法判断,无,高
内部群,内部_厂区内景_260610_01.mp4,260610,60.8,720x1280,环境铺垫,可全屏,厂区内景,厂区、文字牌,固定机位、中景,无法判断,无,高
内部群,lQbPJxpYqSNX1oEAALBCHDMXaXq4pwniay9-52QA.mp4,260520,14.7,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,260312_01.mp4,260312,11.9,720x1280,不可用,可全屏,,无,,无法判断,无,
内部群,lQbPJxwfaIWNxYsAALA-fXyDHLX-8wpEPIpcwzYA.mp4,260804,36.6,720x1280,不可用,可全屏,,无,,无法判断,无,
内部群,内部_工业加工现场_260528_01.mp4,260528,15.8,960x544,不可用,仅可内嵌,工业加工现场,筒体、厂区、文字牌,手持抖动,无法判断,客户名称,高
内部群,内部_夜间厂区_260219_01.mp4,260219,35.7,544x960,环境铺垫,仅可内嵌,夜间厂区,厂区、文字牌,全景、手持抖动,无法判断,无,高
内部群,内部_设备仪表盘_260331_01.mp4,260331,24.0,544x960,不可用,仅可内嵌,设备仪表盘,文字牌,手持抖动,无法判断,无,高
内部群,内部_多人浇水_260516_01.mp4,260516,37.5,720x1280,不可用,可全屏,多人浇水,无,手持抖动,无法判断,无,高
内部群,内部_花园及雕塑_260701_01.mp4,260701,60.0,544x960,不可用,仅可内嵌,花园及雕塑,无,中景、手持抖动,无法判断,无,高
内部群,内部_工地清理_260425_04.mp4,260425,32.1,544x960,不可用,仅可内嵌,工地清理,无,手持抖动,无法判断,无,高
内部群,内部_夜间厂区_260220_01.mp4,260220,37.6,544x960,环境铺垫,仅可内嵌,夜间厂区,厂区、文字牌,全景、手持抖动,无法判断,无,高
内部群,lQbPJxQfOewZ7nkAALCjqhbWqQq96AngmXtJXUAA.mp4,260519,21.4,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_压力表读数_260130_01.mp4,260130,48.6,544x960,验收闭环,仅可内嵌,压力表读数,表盘,大特写、固定机位,复检,无,高
内部群,内部_夜间厂区景_260221_02.mp4,260221,46.8,544x960,环境铺垫,仅可内嵌,夜间厂区景,厂区、文字牌,全景、手持抖动,无法判断,无,高
内部群,lQbPJxzwl44EO5UAALBejQ2cxfd49AnbHm2QOaAA.mp4,260514,16.1,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_工业检修现场_260612_01.mp4,260612,54.7,720x1280,不可用,可全屏,工业检修现场,厂区、文字牌,手持抖动,无法判断,无,高
内部群,260327_01.mp4,260327,18.3,544x960,不可用,仅可内嵌,,无,,无法判断,人脸,
内部群,内部_夜间厂区_260222_04.mp4,260222,31.3,544x960,环境铺垫,仅可内嵌,夜间厂区,厂区、文字牌,全景、固定机位,无法判断,无,高
内部群,内部_夜间施工现场_260216_02.mp4,260216,43.6,544x960,不可用,仅可内嵌,夜间施工现场,厂区、文字牌,手持抖动,无法判断,无,高
内部群,内部_回转窑磨削_260527_01.mp4,260527,27.0,544x960,过程证据,仅可内嵌,回转窑磨削,刀具、量具、人员、筒体、文字牌、加工纹面,中景、固定机位,加工,人脸、安全告示牌,高
内部群,内部_设备检测现场_260426_02.mp4,260426,17.7,544x960,环境铺垫,仅可内嵌,设备检测现场,人员、筒体、文字牌、厂区,中景、手持抖动,无法判断,人脸,高
内部群,内部_两侧栅栏植物_260529_01.mp4,260529,16.2,720x1280,环境铺垫,可全屏,两侧栅栏植物,厂区,全景,无法判断,无,高
内部群,内部_工厂外部环境_260628_01.mp4,260628,60.6,544x960,环境铺垫,仅可内嵌,工厂外部环境,厂区、文字牌,手持抖动,无法判断,无,高
内部群,内部_设备周围物品_260214_01.mp4,260214,49.5,544x960,环境铺垫,仅可内嵌,设备周围物品,量具、轮带、文字牌,手持抖动、中景,无法判断,无,高
内部群,lQbPJxzKZJcRE6EAALBcbbZHBZqidAnnv_WyiLQA.mp4,260524,17.7,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_绿色植物_260529_01.mp4,260529,31.7,720x1280,不可用,可全屏,绿色植物,无,,无法判断,无,高
内部群,内部_现场环境_260704_01.mp4,260704,13.0,720x1280,环境铺垫,可全屏,现场环境,人员、厂区、文字牌,中景、手持抖动,无法判断,人脸,高
内部群,内部_维修现场素材_260213_01.mp4,260213,18.4,720x1280,不可用,可全屏,维修现场素材,火花、轮带、筒体、文字牌,手持抖动,无法判断,无,高
内部群,内部_工厂外景植物_260505_01.mp4,260505,28.2,720x1280,环境铺垫,可全屏,工厂外景植物,厂区,全景、手持抖动,无法判断,无,高
内部群,内部_设备内部检修_260518_01.mp4,260518,19.7,960x544,不可用,仅可内嵌,设备内部检修,筒体、文字牌,全景、固定机位,无法判断,客户名称,高
内部群,260402_02.mp4,260402,15.8,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_厨房现场_260225_02.mp4,260225,12.0,544x960,环境铺垫,仅可内嵌,厨房现场,无,中景、手持抖动,无法判断,无,高
内部群,内部_夜晚维修现场_260221_01.mp4,260221,40.9,544x960,环境铺垫,仅可内嵌,夜晚维修现场,厂区、文字牌、筒体,全景、手持抖动,无法判断,无,高
内部群,内部_司机驾驶车辆_260503_01.mp4,260503,11.4,720x1280,环境铺垫,可全屏,司机驾驶车辆,人员,手持抖动,无法判断,人脸,高
内部群,内部_下水井维修_260816_01.mp4,260816,31.7,544x960,环境铺垫,仅可内嵌,下水井维修,筒体,中景,无法判断,无,高
内部群,lQbPJwrRQmsAbbEAALB60mgBaeLMXgniTLEoQT0A.mp4,260520,20.2,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,260415_02.mp4,260415,15.3,544x960,不可用,仅可内嵌,,无,,无法判断,无,待确认
内部群,内部_砖围树池_260309_03.mp4,260309,29.9,544x960,不可用,仅可内嵌,砖围树池,无,手持抖动,无法判断,无,高
内部群,260131_02.mp4,260131,23.1,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_工业车内部_260727_01.mp4,260727,13.7,544x960,环境铺垫,仅可内嵌,工业车内部,无,中景、手持抖动,无法判断,无,高
内部群,内部_粉红灯饰旅店_260216_01.mp4,260216,22.3,544x960,环境铺垫,仅可内嵌,粉红灯饰旅店,文字牌,手持抖动、强对比,无法判断,无,高
内部群,内部_回转窑检修_260404_02.mp4,260404,16.8,720x1280,不可用,可全屏,回转窑检修,筒体,手持抖动,无法判断,无,高
内部群,内部_夜间灯光现场_260217_02.mp4,260217,42.7,544x960,不可用,仅可内嵌,夜间灯光现场,厂区、文字牌,手持抖动,无法判断,无,高
内部群,内部_绿化带和地面_260616_01.mp4,260616,37.5,544x960,环境铺垫,仅可内嵌,绿化带和地面,厂区、文字牌,手持抖动,无法判断,无,高
内部群,内部_园艺场景_260628_01.mp4,260628,54.5,720x1280,不可用,可全屏,园艺场景,厂区、文字牌,中景、手持抖动,无法判断,车牌,高
内部群,内部_植物园地_260413_01.mp4,260413,29.8,544x960,环境铺垫,仅可内嵌,植物园地,无,手持抖动,无法判断,无,高
内部群,内部_工厂车间内景_260402_03.mp4,260402,23.4,544x960,环境铺垫,仅可内嵌,工厂车间内景,人员、筒体、厂区、文字牌,手持抖动,无法判断,无,高
内部群,内部_植物和设备_260514_01.mp4,260514,29.9,544x960,不可用,仅可内嵌,植物和设备,无,手持抖动、中景,无法判断,无,高
内部群,内部_喷洒植物处理_260407_06.mp4,260407,32.2,720x1280,不可用,可全屏,喷洒植物处理,无,手持抖动,无法判断,无,高
内部群,内部_机械设备操作_260227_03.mp4,260227,27.8,720x1280,过程证据,可全屏,机械设备操作,刀具、量具、齿轮、筒体,中景,加工,无,高
内部群,内部_多个花园场景_260522_01.mp4,260522,45.8,720x1280,环境铺垫,可全屏,多个花园场景,无,手持抖动、大特写、中景,无法判断,无,高
内部群,内部_工厂外墙绿植_260407_07.mp4,260407,22.4,544x960,环境铺垫,仅可内嵌,工厂外墙绿植,厂区、文字牌,手持抖动、固定机位,无法判断,无,高
内部群,内部_园区灌木装饰_260401_01.mp4,260401,20.7,544x960,环境铺垫,仅可内嵌,园区灌木装饰,厂区、文字牌,手持抖动、中景,无法判断,无,高
内部群,lQbPJxnps8j1kfsAALDgJ88LIVOYrQo4e-h5L7gA.mp4,260726,12.0,960x544,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_夜间厂区_260218_01.mp4,260218,30.0,544x960,环境铺垫,仅可内嵌,夜间厂区,厂区、文字牌,全景、手持抖动,无法判断,无,高
内部群,内部_工业现场画面_260402_04.mp4,260402,15.6,544x960,环境铺垫,仅可内嵌,工业现场画面,人员、轮带、筒体、厂区、文字牌,中景、手持抖动,无法判断,无,高
内部群,内部_工厂内清扫_260406_01.mp4,260406,17.4,544x960,环境铺垫,仅可内嵌,工厂内清扫,人员、厂区,中景、手持抖动,无法判断,无,高
内部群,lQbPKIIodxiSs-8AALCU2CX5FEn-2Qo4Ca6Zz44A.mp4,260725,16.5,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,260225_03.mp4,260225,10.8,1280x720,不可用,可全屏,,无,,无法判断,人脸,
内部群,内部_园艺活动_260807_01.mp4,260807,38.2,720x1280,不可用,可全屏,园艺活动,人员,手持抖动,无法判断,无,高
内部群,内部_夜间厂区_260222_03.mp4,260222,36.8,544x960,环境铺垫,仅可内嵌,夜间厂区,厂区、文字牌,手持抖动,无法判断,无,高
内部群,lQbPJxK9bqnkrrkAALC-plfDrL4inwntI-_Tkt8A.mp4,260528,15.2,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,lQbPJwkbyt-TbzsAALDo60vMZquBAgo4e_THYqMA.mp4,260726,27.4,960x544,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_户外绿化维修_260424_01.mp4,260424,17.2,544x960,环境铺垫,仅可内嵌,户外绿化维修,厂区、人员、文字牌,固定机位、手持抖动,无法判断,无,高
内部群,内部_浇水植物_260807_01.mp4,260807,62.0,544x960,不可用,仅可内嵌,浇水植物,人员、文字牌,手持抖动,无法判断,无,高
内部群,260327_02.mp4,260327,18.6,720x1280,不可用,可全屏,,无,,无法判断,无,
内部群,内部_夜间检修作业_260522_01.mp4,260522,51.5,544x960,不可用,仅可内嵌,夜间检修作业,无,手持抖动,无法判断,无,高
内部群,260410_02.mp4,260410,38.8,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_绿化修剪现场_260517_01.mp4,260517,20.4,544x960,环境铺垫,仅可内嵌,绿化修剪现场,无,中景、固定机位,无法判断,无,高
内部群,内部_夜间厂区景_260223_01.mp4,260223,40.0,544x960,环境铺垫,仅可内嵌,夜间厂区景,厂区、文字牌,固定机位,无法判断,无,高
内部群,内部_道路行驶_260812_01.mp4,260812,13.8,720x1280,不可用,可全屏,道路行驶,人员,运动镜头、手持抖动,无法判断,无,高
内部群,内部_控制面板操作_260412_02.mp4,260412,36.2,544x960,环境铺垫,仅可内嵌,控制面板操作,表盘、文字牌,手持抖动,无法判断,无,高
内部群,内部_夜间厂区环境_260222_02.mp4,260222,34.4,544x960,环境铺垫,仅可内嵌,夜间厂区环境,厂区、文字牌,中景、固定机位,无法判断,无,高
内部群,内部_浇水植物_260606_01.mp4,260606,47.8,720x1280,不可用,可全屏,浇水植物,无,中景、手持抖动,无法判断,无,高
内部群,内部_地面植被_260530_01.mp4,260530,47.0,544x960,不可用,仅可内嵌,地面植被,无,手持抖动,无法判断,无,高
内部群,260426_03.mp4,260426,16.0,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,260428_01.mp4,260428,8.0,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_夜间装饰彩灯_260217_04.mp4,260217,43.6,544x960,环境铺垫,仅可内嵌,夜间装饰彩灯,厂区、文字牌,手持抖动,无法判断,无,高
内部群,内部_树木护理_260517_01.mp4,260517,27.9,544x960,不可用,仅可内嵌,树木护理,人员,手持抖动,拆解,无,高
内部群,内部_回转窑检修_260725_02.mp4,260725,11.1,544x960,过程证据,仅可内嵌,回转窑检修,轮带、筒体、文字牌,中景,加工,无,高
内部群,内部_室内施工_260623_01.mp4,260623,11.7,720x1280,环境铺垫,可全屏,室内施工,人员,中景,拆解,人脸,高
内部群,260131_09.mp4,260131,20.6,544x960,不可用,仅可内嵌,,无,,无法判断,无,待确认
内部群,内部_夜间施工现场_260518_01.mp4,260518,32.9,544x960,不可用,仅可内嵌,夜间施工现场,筒体、文字牌,手持抖动,无法判断,无,高
内部群,260131_04.mp4,260131,9.2,544x960,不可用,仅可内嵌,,无,,无法判断,无,待确认
内部群,内部_暴雨冲刷道路_260518_01.mp4,260518,24.4,544x960,不可用,仅可内嵌,暴雨冲刷道路,无,手持抖动、固定机位,无法判断,无,高
内部群,内部_手持喷雾_260407_08.mp4,260407,47.9,720x1280,不可用,可全屏,手持喷雾,无,手持抖动,无法判断,无,高
内部群,内部_浇水绿植_260804_01.mp4,260804,49.8,720x1280,不可用,可全屏,浇水绿植,无,手持抖动,无法判断,无,高
内部群,内部_地面树叶_260425_05.mp4,260425,43.4,720x1280,环境铺垫,可全屏,地面树叶,厂区,中景、固定机位,无法判断,无,高
内部群,内部_工业现场_260225_01.mp4,260225,31.8,720x1280,环境铺垫,可全屏,工业现场,吊装、厂区,中景、手持抖动,无法判断,无,高
内部群,lQbPKHWVw3UyP_EAALAJNIAKMXbo7wninK34s1QA.mp4,260520,20.2,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,lQbPKHwDCgXqS8kAALDTzqyEQ4E4VQnmr6WwjrAA.mp4,260523,15.2,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_天空烟花不明_260224_02.mp4,260224,27.4,720x1280,不可用,可全屏,天空烟花不明,火花,手持抖动,无法判断,人脸,高
内部群,内部_隧道内情景_260522_01.mp4,260522,51.3,960x544,不可用,仅可内嵌,隧道内情景,筒体、文字牌,固定机位,无法判断,客户名称,高
内部群,内部_工厂环境_260604_01.mp4,260604,60.4,544x960,环境铺垫,仅可内嵌,工厂环境,厂区,中景,无法判断,无,高
内部群,内部_夜景拍摄_260220_02.mp4,260220,40.8,544x960,环境铺垫,仅可内嵌,夜景拍摄,厂区、文字牌,全景、手持抖动,无法判断,无,高
内部群,内部_树木与围栏_260407_09.mp4,260407,39.6,720x1280,不可用,可全屏,树木与围栏,无,手持抖动,无法判断,无,高
内部群,内部_加工现场画面_260328_02.mp4,260328,15.3,960x544,环境铺垫,仅可内嵌,加工现场画面,人员、筒体、文字牌,运动镜头、手持抖动,无法判断,客户名称、安全告示牌,高
水泥群,水泥_积雪覆盖设备_260120_01.mp4,260120,6.2,720x1280,不可用,可全屏,积雪覆盖设备,筒体、厂区、磨损面,中景、固定机位,无法判断,无,高
水泥群,lQbPJwSsvkttYzsAALAw939HRgCffAlDGwBizloA.mp4,260116,7.2,720x1280,不可用,可全屏,,无,,无法判断,无,
水泥群,水泥_红色帽子作业_260116_01.mp4,260116,11.3,720x1280,过程证据,可全屏,红色帽子作业,火花、刀具、人员、筒体、切屑,中景、运动镜头、手持抖动,加工,无,高
焊接群,260419_01.mp4,260419,28.5,720x1280,不可用,可全屏,,无,,无法判断,人脸,待确认
焊接群,焊接_污土裸露_260418_01.mp4,260418,8.5,544x960,不可用,仅可内嵌,污土裸露,无,中景,无法判断,无,高
化工钢铁群,lQbPJxdSrjIBwKEAALDubpCUwgsR7wmRLfhBJ7gA.mp4,260318,21.7,544x960,不可用,仅可内嵌,,无,,无法判断,无,
化工钢铁群,化工钢铁_回转窑车磨削_260308_01.mp4,260308,21.2,544x960,过程证据,仅可内嵌,回转窑车磨削,火花、刀具、筒体、轮带,中景、固定机位,加工,无,高
化工钢铁群,化工钢铁_回转窑检修_260317_01.mp4,260317,21.8,544x960,不可用,仅可内嵌,回转窑检修,筒体,中景,无法判断,无,高
化工钢铁群,化工钢铁_工业焊接场景_260307_01.mp4,260307,2.9,544x960,过程证据,仅可内嵌,工业焊接场景,火花、人员、筒体、焊接、厂区,中景、固定机位,焊接,无,高
化工钢铁群,化工钢铁_回转窑车磨削_260310_01.mp4,260310,33.8,544x960,关键细节,仅可内嵌,回转窑车磨削,轮带、托轮、筒体、量具,大特写、固定机位,加工,无,高
化工钢铁群,化工钢铁_现场检修画面_260312_01.mp4,260312,33.2,544x960,开场证据,仅可内嵌,现场检修画面,人员、轮带、托轮、筒体,中景、手持抖动,无法判断,人脸,高
化工钢铁群,lQbPJxzBTGeqGtkAALB1Sec5UdEEJAmMYF4JFOYA.mp4,260314,16.0,544x960,不可用,仅可内嵌,,无,,无法判断,无,
化工钢铁群,lQbPJwmJ11vhSUkAALApbB7Zd5QAeQmGIBZ278gA.mp4,260309,23.1,544x960,不可用,仅可内嵌,,无,,无法判断,无,待确认
化工钢铁群,lQbPJwNjgXHH5WUAALBeGSFbmpW5igmDdHOFdA0A.mp4,260307,36.9,544x960,不可用,仅可内嵌,,无,,无法判断,无,
化工钢铁群,化工钢铁_窑筒体修复_260308_01.mp4,260308,60.1,544x960,环境铺垫,仅可内嵌,窑筒体修复,人员、筒体、文字牌、轮带、托轮,中景、固定机位,无法判断,客户名称,高
化工钢铁群,化工钢铁_工业现场检修_260317_01.mp4,260317,15.1,544x960,过程证据,仅可内嵌,工业现场检修,筒体、轮带、托轮、刀具、磨损面,中景、手持抖动,加工,无,高
化工钢铁群,化工钢铁_回转窑维修_260307_01.mp4,260307,8.1,544x960,过程证据,仅可内嵌,回转窑维修,筒体、轮带、托轮,固定机位,加工,无,高
化工钢铁群,化工钢铁_水泥行业检修_260317_01.mp4,260317,3.1,544x960,不可用,仅可内嵌,水泥行业检修,人员、筒体、加工纹面,中景、手持抖动,无法判断,无,高
化工钢铁群,lQbPKclKvLmcINcAALArENFQp_X7VwoNKMuNZP4A.mp4,260622,7.9,1280x720,不可用,可全屏,,无,,无法判断,无,
化工钢铁群,化工钢铁_回转窑设备_260629_01.mp4,260629,51.7,544x960,不可用,仅可内嵌,回转窑设备,轮带、托轮、齿轮、筒体,中景、手持抖动,无法判断,无,高
化工钢铁群,lQbPKITSlhog7scAALD51lTuX0YFugoWHCPSt50A.mp4,260629,30.1,568x320,不可用,仅可内嵌,,无,,无法判断,无,
水泥群,水泥_大型设备检修_260725_01.mp4,260725,8.7,720x1280,环境铺垫,可全屏,大型设备检修,人员、齿轮、筒体、轮带,中景、手持抖动,无法判断,人脸,高
水泥群,lQbPJw6mmr6XX8sAALDk7KwXEymfKwo-SwLfNu4A.mp4,260730,17.4,544x960,不可用,仅可内嵌,,无,,无法判断,无,待确认
水泥群,lQbPJxr7ddlDj38AALCINfZbNUzylAoyJ0ptZOUA.mp4,260721,20.2,960x544,不可用,仅可内嵌,,无,,无法判断,无,待确认
水泥群,水泥_回转窑维修_260727_01.mp4,260727,16.0,720x1280,过程证据,可全屏,回转窑维修,人员、刀具、量具、轮带、筒体,固定机位、中景,测量,人脸,高
水泥群,lQbPJwwFlBD82rsAALCMSH_C30kxMAo7e30TVBMA.mp4,260728,8.6,1280x720,不可用,可全屏,,无,,无法判断,无,
水泥群,水泥_齿轮特写_260729_01.mp4,260729,10.6,544x960,关键细节,仅可内嵌,齿轮特写,齿轮,大特写、固定机位,加工,无,高
水泥群,lQbPJv9y4GdYZ7sAALBJUVD6KgKBygpCG09vGAoA.mp4,260802,4.8,544x960,不可用,仅可内嵌,,无,,无法判断,无,
水泥群,水泥_设备检修现场_260724_01.mp4,260724,15.6,960x544,过程证据,仅可内嵌,设备检修现场,人员、筒体、轮带,中景,无法判断,人脸,高
水泥群,lQbPJv9x94ErOrMAALCIblTYS3ZvkAo9KyRw_CMA.mp4,260729,12.0,544x960,不可用,仅可内嵌,,无,,无法判断,无,
水泥群,lQbPJxGaZQkwm08AALAIHVyNslYPVAoxK9OkJJMA.mp4,260720,7.8,544x960,不可用,仅可内嵌,,无,,无法判断,无,
水泥群,lQbPJw1oR-YIaPMAALBpJ2mGew4V6Ao_weXvQI8A.mp4,260731,8.2,544x960,不可用,仅可内嵌,,无,,无法判断,无,
水泥群,水泥_工具物资_lQbPKIHQPoskFHsAALAQNx1TDMUK6gooWy4IJF0A.mp4,260713,19.2,720x1280,环境铺垫,可全屏,,厂区,,无法判断,人脸,待确认
水泥群,水泥_回转窑设备_260715_01.mp4,260715,8.4,720x1280,不可用,可全屏,回转窑设备,齿轮、筒体、厂区,中景,无法判断,无,高
水泥群,lQbPJxtFISUNXiMAALBy4rg4w7_F4wpDQnC-ibYA.mp4,260803,6.3,720x1280,不可用,可全屏,,无,,无法判断,无,
水泥群,lQbPJxFHoV0H3_sAALChZnN-Fn5L8wo_QNtN8yQA.mp4,260731,22.1,544x960,不可用,仅可内嵌,,无,,无法判断,人脸,
焊接群,焊接_窑体检修_260430_01.mp4,260430,40.9,544x960,过程证据,仅可内嵌,,筒体,,无法判断,无,待确认
焊接群,260504_01.mp4,260504,2.4,544x960,不可用,仅可内嵌,,无,,无法判断,无,
焊接群,260501_01.mp4,260501,17.9,720x1280,不可用,可全屏,回转窑筒体,筒体,固定机位,无法判断,无,高
化工钢铁群,化工钢铁_工业焊接作业_260611_01.mp4,260611,9.8,720x1280,过程证据,可全屏,工业焊接作业,火花、人员、筒体、焊接,中景、固定机位,焊接,无,高
化工钢铁群,化工钢铁_现场加工操作_260718_01.mp4,260718,7.0,720x1280,过程证据,可全屏,现场加工操作,火花、人员、筒体、加工纹面,中景、强对比,加工,人脸,高
化工钢铁群,化工钢铁_回转窑车磨削_260718_01.mp4,260718,11.2,720x1280,过程证据,可全屏,回转窑车磨削,火花、人员、轮带、筒体,中景、手持抖动,加工,无,高
化工钢铁群,化工钢铁_回转窑检修_260716_01.mp4,260716,5.6,720x1280,过程证据,可全屏,回转窑检修,火花、刀具、人员、轮带、筒体,中景、固定机位,加工,人脸,高
化工钢铁群,化工钢铁_回转窑检修_260719_01.mp4,260719,4.2,720x1280,过程证据,可全屏,回转窑检修,火花、人员、轮带、筒体、切屑,中景、固定机位,加工,人脸,高
化工钢铁群,化工钢铁_工业维护现场_260606_01.mp4,260606,4.6,720x1280,过程证据,可全屏,工业维护现场,火花、人员、筒体、切屑,中景、手持抖动,加工,无,高
化工钢铁群,lQbPJwTjUAguHqMAALDQD6lN01SOTAn-_HwnJ8oA.mp4,260611,10.0,544x960,不可用,仅可内嵌,,无,,无法判断,无,
